,Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h),9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind speed (km/h),3pm MSL pressure (hPa),avg_demand
59,14/04/2021,11.5,20.8,0.0,7.8,6.8,43.0,18.0,46.0,1.0,13,1010.9,20.1,46,7.0,11,1011.1,4588.322291666666
60,15/04/2021,14.0,20.2,0.0,7.4,5.4,39.0,15.8,52.0,3.0,11,1016.2,15.7,71,7.0,6,1015.3,4754.896250000001
61,16/04/2021,11.5,15.1,1.0,4.2,1.3,24.0,12.3,75.0,7.0,6,1024.2,14.5,56,7.0,7,1023.9,5058.855416666666
62,18/04/2021,13.1,18.8,0.0,3.2,0.7,20.0,14.9,77.0,7.0,2,1023.5,17.5,64,7.0,2,1020.3,4339.892916666666
63,19/04/2021,12.0,20.6,0.0,2.8,2.3,30.0,15.3,64.0,6.0,9,1018.4,18.9,47,6.0,15,1014.1,4771.187708333334
64,20/04/2021,14.0,18.7,0.0,5.6,1.9,44.0,16.3,53.0,5.0,9,1011.0,11.4,88,7.0,6,1011.0,5104.9904166666665
65,21/04/2021,7.1,14.9,10.4,0.2,7.7,19.0,10.0,65.0,1.0,2,1019.2,14.2,48,6.0,7,1015.4,5143.661458333334
66,22/04/2021,9.9,17.0,0.0,4.0,1.6,30.0,13.4,62.0,7.0,13,1013.3,16.8,46,7.0,9,1012.0,5150.687708333331
67,23/04/2021,12.1,17.3,0.4,3.0,2.0,31.0,14.7,66.0,7.0,11,1018.6,16.4,51,7.0,9,1018.5,5017.682708333333
68,24/04/2021,13.1,18.3,0.0,3.2,1.8,30.0,15.1,56.0,7.0,15,1023.2,17.3,58,7.0,2,1021.8,4584.556041666668
69,25/04/2021,9.9,17.8,2.6,1.2,3.6,24.0,12.8,83.0,6.0,2,1027.0,16.0,70,7.0,4,1025.2,4486.034791666666
70,26/04/2021,10.9,17.9,1.2,2.2,0.8,20.0,13.6,83.0,7.0,6,1027.9,16.1,68,7.0,9,1027.1,5098.565
71,27/04/2021,11.8,16.6,0.6,2.0,0.9,19.0,13.4,87.0,7.0,9,1029.5,16.3,73,7.0,11,1026.7,5220.158125000001
72,28/04/2021,7.4,16.9,0.4,3.0,9.5,22.0,12.3,87.0,1.0,Calm,1026.4,14.8,70,5.0,13,1023.9,5135.717291666667
73,29/04/2021,8.2,18.4,0.0,2.2,9.9,17.0,12.0,83.0,1.0,Calm,1025.1,17.5,66,2.0,9,1022.9,5133.075625
74,1/05/2021,11.2,24.6,0.0,5.4,7.1,33.0,14.9,63.0,3.0,9,1027.3,24.2,35,7.0,17,1024.4,4192.782499999999
75,2/05/2021,13.7,26.0,0.0,6.4,3.8,39.0,17.5,59.0,7.0,7,1023.3,25.3,36,2.0,20,1018.9,4061.982708333333
76,3/05/2021,12.5,18.2,0.2,6.8,0.8,28.0,15.0,80.0,7.0,7,1019.6,17.0,74,7.0,9,1017.6,4941.462916666667
77,4/05/2021,9.4,15.5,30.8,4.6,0.1,39.0,12.0,100.0,7.0,Calm,1019.9,14.4,78,8.0,19,1021.5,5254.66125
78,5/05/2021,7.2,17.3,0.0,0.8,9.1,30.0,12.2,83.0,1.0,Calm,1026.0,17.0,52,5.0,9,1023.4,5047.281875
79,6/05/2021,7.6,22.2,0.0,2.0,8.4,19.0,10.8,83.0,1.0,6,1021.6,21.6,56,1.0,2,1016.8,5112.022500000001
80,7/05/2021,10.5,21.5,0.2,2.4,3.6,15.0,13.9,91.0,4.0,7,1014.8,20.2,37,6.0,Calm,1011.3,5012.971458333334
81,8/05/2021,9.9,19.8,0.0,2.8,5.1,24.0,15.1,76.0,2.0,4,1013.9,17.3,69,7.0,6,1013.4,4396.825208333333
82,9/05/2021,11.0,20.5,0.4,0.0,7.1,28.0,13.7,97.0,6.0,Calm,1018.4,19.5,45,3.0,6,1014.9,4129.788333333335
83,10/05/2021,11.7,16.9,0.2,3.8,0.5,41.0,14.3,68.0,7.0,19,1010.2,16.2,56,7.0,13,1007.6,4970.349374999999
84,11/05/2021,10.7,16.3,15.8,2.8,0.1,41.0,12.2,100.0,8.0,9,1018.7,15.7,71,7.0,17,1021.3,5174.496458333331
85,13/05/2021,8.1,17.6,0.0,1.2,1.0,39.0,14.0,65.0,7.0,15,1012.5,13.1,90,8.0,9,1011.1,5262.32125
86,14/05/2021,7.8,15.6,4.2,2.4,4.5,35.0,11.5,71.0,3.0,11,1014.5,13.5,67,3.0,6,1013.6,5182.773333333335
87,16/05/2021,8.3,15.5,0.2,3.0,3.2,35.0,10.3,67.0,6.0,11,1021.8,14.5,59,7.0,11,1019.1,4750.6743750000005
88,17/05/2021,10.2,15.4,0.4,0.6,7.1,30.0,11.8,85.0,2.0,9,1024.7,14.2,53,6.0,11,1025.4,5321.396041666666
89,18/05/2021,10.0,16.0,0.0,1.8,0.7,20.0,11.4,77.0,7.0,9,1029.1,15.6,57,7.0,6,1026.5,5536.832708333332
90,20/05/2021,12.0,17.0,0.0,4.0,0.2,37.0,12.7,62.0,7.0,17,1025.8,16.7,55,7.0,4,1026.3,5478.997083333335
91,21/05/2021,6.2,17.7,0.0,1.6,8.9,15.0,7.2,100.0,1.0,11,1031.9,16.4,44,1.0,7,1028.6,5382.471041666667
92,22/05/2021,3.6,19.2,0.0,3.0,9.3,35.0,6.8,77.0,1.0,7,1027.0,18.9,36,0.0,13,1023.6,4841.111458333334
93,23/05/2021,6.1,20.2,0.0,3.4,8.8,24.0,8.7,78.0,3.0,11,1027.4,20.1,42,3.0,13,1024.9,4567.68625
94,24/05/2021,6.8,19.9,0.0,2.6,4.8,31.0,10.7,73.0,7.0,9,1027.4,18.4,47,6.0,13,1023.4,5052.376249999999
95,25/05/2021,10.6,20.9,0.0,5.6,3.2,57.0,18.4,50.0,6.0,20,1015.3,15.5,76,8.0,22,1009.6,4976.928958333336
96,28/05/2021,11.0,13.8,0.4,0.4,0.5,39.0,12.2,60.0,7.0,15,1031.8,12.7,59,7.0,11,1032.4,5382.596874999998
97,29/05/2021,10.4,13.1,0.0,2.0,4.1,26.0,11.3,58.0,7.0,6,1034.2,12.7,55,5.0,13,1032.3,4903.450625
98,30/05/2021,1.7,14.5,0.0,2.4,8.9,17.0,3.0,94.0,1.0,9,1031.5,14.1,48,,4,,4921.220624999999
99,31/05/2021,3.0,16.1,0.0,2.2,9.1,31.0,5.7,76.0,0.0,11,1025.2,15.7,48,2.0,17,1021.6,5461.487708333334
100,2/06/2021,9.2,19.6,0.0,3.2,7.7,33.0,12.4,63.0,1.0,9,1018.8,19.0,44,5.0,11,1015.2,5208.89375
101,3/06/2021,10.4,16.9,0.2,3.4,7.5,24.0,12.2,93.0,2.0,7,1015.1,16.7,62,5.0,9,1012.9,5173.505000000001
102,5/06/2021,3.8,12.9,0.0,1.4,3.5,52.0,6.7,74.0,7.0,11,1021.4,12.0,57,7.0,26,1017.6,5102.352083333333
103,6/06/2021,6.7,14.7,0.0,2.6,4.2,39.0,11.0,81.0,7.0,17,1022.2,13.6,73,5.0,17,1019.9,4743.685624999999
104,7/06/2021,10.7,17.2,0.0,1.0,2.6,59.0,12.5,73.0,7.0,22,1016.7,16.5,55,7.0,28,1009.3,5121.014583333334
105,8/06/2021,9.3,13.2,3.0,4.8,2.3,48.0,9.3,89.0,7.0,9,1005.0,11.1,72,7.0,11,1004.8,5680.135833333333
106,12/06/2021,7.4,16.5,9.4,0.4,1.0,33.0,12.7,85.0,7.0,7,1014.4,15.5,61,7.0,11,1014.0,4826.986875000001
107,13/06/2021,10.9,15.9,0.0,1.4,0.7,17.0,11.7,86.0,7.0,Calm,1018.8,14.3,69,7.0,6,1016.8,4795.815624999998
108,14/06/2021,9.7,16.4,0.0,1.4,1.6,15.0,11.0,89.0,7.0,7,1018.0,15.9,57,6.0,6,1015.5,4876.1120833333325
109,15/06/2021,7.0,15.6,0.0,0.8,0.0,24.0,8.5,89.0,7.0,7,1017.5,15.0,60,7.0,9,1014.5,5479.885416666665
110,17/06/2021,7.8,12.9,0.8,1.0,2.6,20.0,9.4,83.0,7.0,9,1010.5,12.4,70,7.0,4,1008.8,5877.544166666668
111,18/06/2021,6.1,13.2,1.6,1.8,0.1,26.0,9.4,100.0,7.0,2,1012.6,12.5,98,7.0,9,1014.4,5776.757083333334
112,19/06/2021,9.1,16.2,2.2,1.6,4.0,28.0,11.4,100.0,7.0,6,1024.5,13.4,86,6.0,13,1025.1,4899.166875000002
113,20/06/2021,5.2,14.5,0.0,0.0,6.9,20.0,9.1,100.0,1.0,4,1027.8,13.8,69,2.0,Calm,1025.4,4994.098958333334
114,22/06/2021,3.7,16.3,0.0,2.0,1.9,28.0,5.6,91.0,7.0,6,1029.6,14.4,56,7.0,13,1026.2,5789.635000000001
115,23/06/2021,5.6,15.3,0.0,2.7,2.1,46.0,13.9,63.0,8.0,9,1019.4,14.8,67,7.0,17,1012.5,5618.096041666668
116,24/06/2021,9.8,16.7,0.0,1.0,5.2,41.0,12.6,85.0,1.0,6,1007.2,15.3,54,7.0,17,1004.9,5346.484375
117,26/06/2021,10.0,13.4,5.6,0.2,4.6,28.0,10.5,79.0,3.0,9,1019.9,12.4,56,3.0,9,1020.1,5032.912708333333
118,29/06/2021,4.2,16.7,0.0,2.2,8.8,43.0,6.8,88.0,1.0,2,1032.5,16.2,55,2.0,19,1029.4,5591.787499999999
119,30/06/2021,5.5,16.9,0.0,1.2,6.8,39.0,11.3,79.0,1.0,9,1026.8,16.8,57,1.0,19,1022.6,5365.776666666668
120,1/07/2021,10.5,17.2,0.0,1.4,8.9,35.0,12.3,86.0,1.0,11,1022.3,16.6,58,1.0,20,1019.1,5344.436875
121,2/07/2021,9.7,14.5,0.2,2.8,1.7,43.0,12.7,83.0,6.0,9,1014.6,14.4,72,7.0,22,1010.4,5591.024375
122,4/07/2021,6.5,13.1,0.2,1.2,3.5,46.0,7.7,79.0,3.0,20,1016.4,12.2,67,7.0,17,1015.3,5425.847708333334
123,5/07/2021,4.6,13.1,0.4,1.6,1.9,22.0,6.8,82.0,7.0,9,1022.7,12.7,66,7.0,7,1021.5,6236.579374999998
124,6/07/2021,6.7,13.2,0.0,1.0,0.6,20.0,8.7,74.0,7.0,9,1023.4,12.9,55,7.0,11,1022.2,6104.47125
125,7/07/2021,6.8,13.1,0.0,0.8,2.2,,7.8,74.0,6.0,9,1026.0,12.0,49,7.0,6,1023.8,5966.279583333334
126,8/07/2021,,,,1.8,8.3,,,,2.0,,,12.0,55,6.0,9,1019.4,6115.2733333333335
127,9/07/2021,2.0,12.0,,1.0,9.0,15.0,4.6,92.0,4.0,4,1017.9,11.0,67,2.0,7,1015.7,6100.2579166666665
128,10/07/2021,3.2,14.2,0.0,0.8,6.6,15.0,5.0,100.0,7.0,6,1024.4,12.1,80,1.0,9,1024.4,5477.881458333333
129,12/07/2021,5.9,16.1,0.0,3.0,5.1,50.0,11.4,71.0,7.0,13,1018.1,15.8,44,1.0,24,1013.6,5564.122083333335
130,13/07/2021,8.9,14.4,0.4,2.4,2.4,37.0,10.7,84.0,7.0,11,1014.2,13.8,69,7.0,19,1011.7,5708.9554166666685
131,14/07/2021,9.8,13.9,2.2,3.0,0.5,44.0,10.3,84.0,7.0,13,1005.0,13.4,73,7.0,24,1000.8,5794.33875
132,15/07/2021,10.0,17.1,3.0,1.6,7.0,43.0,12.3,84.0,5.0,17,1000.0,16.4,67,4.0,22,996.6,5343.332708333332
133,16/07/2021,10.9,15.2,0.2,0.8,2.4,41.0,11.1,75.0,7.0,17,989.7,13.8,60,5.0,6,989.0,5517.317499999998
