,Date,Minimum temperature (C),Evaporation (mm),9am relative humidity (%),9am cloud amount (oktas),3pm relative humidity (%),3pm wind speed (km/h),avg_demand
252,14/12/2021,14.9,8.0,72,7.0,59,20,7000.336250000003
253,16/12/2021,20.0,11.6,82,7.0,73,20,7464.555694444448
254,17/12/2021,18.4,6.2,79,7.0,60,24,7282.540659722217
255,18/12/2021,19.0,5.2,77,7.0,63,13,7953.902847222225
256,20/12/2021,20.4,8.0,76,7.0,70,20,8110.211944444444
257,22/12/2021,21.3,12.2,78,8.0,62,20,7972.22465277778
258,23/12/2021,21.0,6.2,95,8.0,84,20,7891.487881944442
259,24/12/2021,19.8,1.6,82,4.0,67,17,7405.655937499996
260,25/12/2021,20.7,5.0,80,3.0,67,28,6909.841770833335
261,27/12/2021,18.4,6.4,79,7.0,67,30,6300.7342708333335
262,28/12/2021,16.1,6.4,83,7.0,65,17,6101.642951388889
263,30/12/2021,15.7,5.0,75,1.0,59,24,6556.190208333336
264,31/12/2021,17.6,11.2,73,1.0,61,22,6800.63920138889
265,2/01/2022,20.6,7.6,80,1.0,64,28,7026.24618055556
266,4/01/2022,21.3,8.0,70,5.0,61,22,7533.124930555556
267,5/01/2022,21.5,9.4,96,7.0,92,19,7586.139444444443
268,6/01/2022,21.6,2.8,83,6.0,70,37,7684.366875000003
269,7/01/2022,22.3,5.8,96,8.0,80,33,7812.316284722223
270,8/01/2022,19.4,2.2,90,7.0,69,19,7416.010381944442
271,9/01/2022,20.8,8.0,86,5.0,85,19,7162.290833333333
272,10/01/2022,22.0,4.0,87,7.0,73,26,8201.246527777774
273,11/01/2022,22.7,5.6,85,7.0,80,24,8181.981076388885
274,12/01/2022,21.9,6.2,82,6.0,73,19,7746.937812500001
275,14/01/2022,19.5,5.0,97,7.0,66,20,7998.224652777777
276,15/01/2022,21.2,9.4,93,7.0,76,20,7718.192951388888
277,16/01/2022,22.1,5.4,84,5.0,67,19,7547.783576388892
278,17/01/2022,21.2,6.6,88,6.0,75,20,8781.386250000001
