date,avg_demand,state
2021/06/21,9151.469791666666,NSW1
2021/06/22,9199.536666666663,NSW1
2021/06/23,9060.739166666666,NSW1
2021/06/24,8800.990208333335,NSW1
2021/06/25,8429.629374999999,NSW1
2021/06/26,8172.806041666666,NSW1
2021/06/27,8132.71,NSW1
2021/06/28,9274.605624999997,NSW1
2021/06/29,9172.130416666665,NSW1
2021/06/30,8766.696875000001,NSW1
2021/07/01,8971.997083333334,NSW1
2021/07/02,8502.706874999998,NSW1
2021/07/03,8171.626666666664,NSW1
2021/07/04,8178.329375000001,NSW1
2021/07/05,8997.164166666671,NSW1
2021/07/06,9591.492083333333,NSW1
2021/07/07,9478.75604166667,NSW1
2021/07/08,9490.086666666668,NSW1
2021/07/09,9911.211458333333,NSW1
2021/07/10,8979.385833333336,NSW1
