date,avg_demand,state
2021/06/21,5746.925624999999,VIC1
2021/06/22,5789.635000000001,VIC1
2021/06/23,5618.096041666668,VIC1
2021/06/24,5346.484375,VIC1
2021/06/25,5725.762500000001,VIC1
2021/06/26,5032.912708333333,VIC1
2021/06/27,4855.928541666665,VIC1
2021/06/28,5621.196041666667,VIC1
2021/06/29,5591.787499999999,VIC1
2021/06/30,5365.776666666668,VIC1
2021/07/01,5344.436875,VIC1
2021/07/02,5591.024375,VIC1
2021/07/03,5517.2560416666665,VIC1
2021/07/04,5425.847708333334,VIC1
2021/07/05,6236.579374999998,VIC1
2021/07/06,6104.47125,VIC1
2021/07/07,5966.279583333334,VIC1
2021/07/08,6115.2733333333335,VIC1
2021/07/09,6100.2579166666665,VIC1
2021/07/10,5477.881458333333,VIC1
